uniprot_acc	pathway_id	pathway_name
O60934	hsa03440	Homologous recombination
A0A0C4DG07	hsa03440	Homologous recombination
Q13315	hsa03440	Homologous recombination
Q8IZU3	hsa03440	Homologous recombination
Q96RL1	hsa03440	Homologous recombination
P28340	hsa03440	Homologous recombination
M0R2B7	hsa03440	Homologous recombination
A0A087WYJ2	hsa03440	Homologous recombination
P49005	hsa03440	Homologous recombination
A0A087WWF6	hsa03440	Homologous recombination
Q9HCU8	hsa03440	Homologous recombination
Q99728	hsa03440	Homologous recombination
C9IYG1	hsa03440	Homologous recombination
F6MDI1	hsa03440	Homologous recombination
A0A087WZ19	hsa03440	Homologous recombination
Q06609	hsa03440	Homologous recombination
O43502	hsa03440	Homologous recombination
O15315	hsa03440	Homologous recombination
C9JYJ0	hsa03440	Homologous recombination
O75771	hsa03440	Homologous recombination
P43351	hsa03440	Homologous recombination
F5GX32	hsa03440	Homologous recombination
Q99708	hsa03440	Homologous recombination
P27694	hsa03440	Homologous recombination
P15927	hsa03440	Homologous recombination
P35244	hsa03440	Homologous recombination
P54132	hsa03440	Homologous recombination
H0YNU5	hsa03440	Homologous recombination
P38398	hsa03440	Homologous recombination
Q04837	hsa03440	Homologous recombination
P51587	hsa03440	Homologous recombination
Q13472	hsa03440	Homologous recombination
O43543	hsa03440	Homologous recombination
O43542	hsa03440	Homologous recombination
P46736	hsa03440	Homologous recombination
Q86YC2	hsa03440	Homologous recombination
H3BN63	hsa03440	Homologous recombination
P60896	hsa03440	Homologous recombination
Q96NY9	hsa03440	Homologous recombination
Q9BX63	hsa03440	Homologous recombination
A0A804HL36	hsa03440	Homologous recombination
Q6UWZ7	hsa03440	Homologous recombination
D6REL5	hsa03440	Homologous recombination
Q92698	hsa03440	Homologous recombination
O95985	hsa03440	Homologous recombination
Q9NXR7	hsa03440	Homologous recombination
Q92878	hsa03450	Non-homologous end-joining
P04053	hsa03450	Non-homologous end-joining
P39748	hsa03450	Non-homologous end-joining
P12956	hsa03450	Non-homologous end-joining
B1AHC9	hsa03450	Non-homologous end-joining
Q9UGP5	hsa03450	Non-homologous end-joining
Q9NP87	hsa03450	Non-homologous end-joining
P49917	hsa03450	Non-homologous end-joining
A0A0C4DGV9	hsa03450	Non-homologous end-joining
P49959	hsa03450	Non-homologous end-joining
F8W7U8	hsa03450	Non-homologous end-joining
P78527	hsa03450	Non-homologous end-joining
Q96SD1	hsa03450	Non-homologous end-joining
Q13426	hsa03450	Non-homologous end-joining
P13010	hsa03450	Non-homologous end-joining
Q9H9Q4	hsa03450	Non-homologous end-joining
Q8N2Z9	hsa03460	Fanconi anemia pathway
A0A087WT10	hsa03460	Fanconi anemia pathway
Q9UNA4	hsa03460	Fanconi anemia pathway
Q96E14	hsa03460	Fanconi anemia pathway
Q96AY2	hsa03460	Fanconi anemia pathway
A4GXA9	hsa03460	Fanconi anemia pathway
A8MT69	hsa03460	Fanconi anemia pathway
J3QRS1	hsa03460	Fanconi anemia pathway
P07992	hsa03460	Fanconi anemia pathway
Q92889	hsa03460	Fanconi anemia pathway
A0A804HKF9	hsa03460	Fanconi anemia pathway
O15360	hsa03460	Fanconi anemia pathway
Q00597	hsa03460	Fanconi anemia pathway
B4E3W2	hsa03460	Fanconi anemia pathway
A0A087WW44	hsa03460	Fanconi anemia pathway
Q9BXW9	hsa03460	Fanconi anemia pathway
Q9HB96	hsa03460	Fanconi anemia pathway
Q8NB91	hsa03460	Fanconi anemia pathway
Q9NPI8	hsa03460	Fanconi anemia pathway
O15287	hsa03460	Fanconi anemia pathway
Q9Y2M0	hsa03460	Fanconi anemia pathway
Q9NPD8	hsa03460	Fanconi anemia pathway
Q13156	hsa03460	Fanconi anemia pathway
Q14469	hsa03460	Fanconi anemia pathway
Q7Z5Q5	hsa03460	Fanconi anemia pathway
Q8N2Z9	hsa03460	Fanconi anemia pathway
P40692	hsa03460	Fanconi anemia pathway
Q9UBT6	hsa03460	Fanconi anemia pathway
Q9UBZ9	hsa03460	Fanconi anemia pathway
P54278	hsa03460	Fanconi anemia pathway
A0A2R8Y6S3	hsa03460	Fanconi anemia pathway
C9J167	hsa03460	Fanconi anemia pathway
Q9Y253	hsa03460	Fanconi anemia pathway
Q13535	hsa03460	Fanconi anemia pathway
Q9BQ83	hsa03460	Fanconi anemia pathway
Q9NW38	hsa03460	Fanconi anemia pathway
Q9NVI1	hsa03460	Fanconi anemia pathway
Q8TAF3	hsa03460	Fanconi anemia pathway
Q8IYD8	hsa03460	Fanconi anemia pathway
Q06609	hsa03460	Fanconi anemia pathway
O43502	hsa03460	Fanconi anemia pathway
O60673	hsa03460	Fanconi anemia pathway
P27694	hsa03460	Fanconi anemia pathway
P15927	hsa03460	Fanconi anemia pathway
P35244	hsa03460	Fanconi anemia pathway
P54132	hsa03460	Fanconi anemia pathway
