Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362588_plate2_v2_human_lineage_10-4-18\ChipRun.bml,1362362588,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,10/04/2018 3:51:47 PM,01:54:01,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A06,FA1 Day3 B,Unknown,1,Fgf8,Test,20.8284847912706,1,Pass,0.0113351551779112,83.2763698034336,999,1
S06-A07,FA1 Day3 B,Unknown,1,Gata2,Test,27.0600464465902,0.759708081173693,Pass,0.0113351551779112,85.2383596230448,999,1
S06-A08,FA1 Day3 B,Unknown,1,Nkx2-5,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A09,FA1 Day3 B,Unknown,1,Comp,Test,25.5245041124798,0.833222595276048,Pass,0.0113351551779112,88.1017615451017,999,1
S06-A10,FA1 Day3 B,Unknown,1,Olig2,Test,38.4578868709764,0,Fail,0.0113351551779112,999,999,0
S06-A11,FA1 Day3 B,Unknown,1,Gfap,Test,34.1992554346034,1,Pass,0.0113351551779112,90.1724717051475,999,1
S06-A12,FA1 Day3 B,Unknown,1,TH,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A13,FA1 Day3 B,Unknown,1,Dppa4,Test,27.6024840855024,1,Pass,0.0113351551779112,82.7075976518119,999,1
S06-A14,FA1 Day3 B,Unknown,1,Zfp42,Test,20.6360706318745,1,Pass,0.0113351551779112,76.5658495643183,999,1
S06-A15,FA1 Day3 B,Unknown,1,Tdgf1,Test,17.8063311782505,1,Pass,0.0113351551779112,85.8714876869659,999,1
S06-A16,FA1 Day3 B,Unknown,1,Cdx2,Test,22.69909641909,1,Pass,0.0113351551779112,77.601244159426,999,1
S06-A17,FA1 Day3 B,Unknown,1,Pecam1,Test,16.5428179255385,1,Pass,0.0113351551779112,81.9994850540594,999,1
S06-A18,FA1 Day3 B,Unknown,1,Nod2,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A19,FA1 Day3 B,Unknown,1,Hand1,Test,35.4805396470616,1,Pass,0.0113351551779112,75.350856129327,999,1
S06-A20,FA1 Day3 B,Unknown,1,Pdgfra,Test,27.8370304809262,1,Pass,0.0113351551779112,77.0844573574088,999,1
S06-A21,FA1 Day3 B,Unknown,1,Ccr5,Test,29.7567597390841,0.982811819695483,Pass,0.0113351551779112,87.9593699505348,999,1
S06-A22,FA1 Day3 B,Unknown,1,Chat,Test,33.4276758319724,0.994332593606379,Pass,0.0113351551779112,79.3961096595535,999,1
S06-A23,FA1 Day3 B,Unknown,1,Tubb3,Test,22.335037461818,1,Pass,0.0113351551779112,89.7366941103001,999,1
S06-A24,FA1 Day3 B,Unknown,1,Gapdh,Test,16.4897836181209,1,Pass,0.0113351551779112,83.7966507360417,999,1
S06-A25,FA1 Day3 B,Unknown,1,Fgf5,Test,19.9646142394666,1,Pass,0.0113351551779112,73.5062897123467,999,1
S06-A26,FA1 Day3 B,Unknown,1,T,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A27,FA1 Day3 B,Unknown,1,Axin2,Test,20.8785969840453,1,Pass,0.0113351551779112,83.7693103034359,999,1
S06-A28,FA1 Day3 B,Unknown,1,Gcg,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A29,FA1 Day3 B,Unknown,1,Hnf4a,Test,18.0973064860595,0.988719510511466,Pass,0.0113351551779112,84.9698571571382,999,1
S06-A30,FA1 Day3 B,Unknown,1,Cxcr4,Test,15.4095457123148,1,Pass,0.0113351551779112,78.5986557551291,999,1
S06-A31,FA1 Day3 B,Unknown,1,Hand2,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A32,FA1 Day3 B,Unknown,1,Runx1,Test,23.9164594698976,1,Pass,0.0113351551779112,79.3242517651982,999,1
S06-A33,FA1 Day3 B,Unknown,1,Krt10,Test,15.4418502738995,1,Pass,0.0113351551779112,78.4148116017869,999,1
S06-A34,FA1 Day3 B,Unknown,1,Foxd3,Test,22.7662830781195,1,Pass,0.0113351551779112,74.1700483128766,999,1
S06-A35,FA1 Day3 B,Unknown,1,Gad1,Test,22.3483933718255,1,Pass,0.0113351551779112,88.1994105093153,999,1
S06-A36,FA1 Day3 B,Unknown,1,Actb,Test,13.6799354688079,1,Pass,0.0113351551779112,89.4219107308715,999,1
S06-A37,FA1 Day3 B,Unknown,1,Klf2,Test,30.7156097790483,0.813663562277879,Pass,0.0113351551779112,86.6226326558015,999,1
