Chip Run Info,G:\Lab 5 Image Data\Project and data\hIPSC\Differentiation\DE Diff\RT_and_qPCR\BioMark\UQ hepatocyte BioMark\1362419391_23-10-19_hepatocyte\ChipRun.bml,1362419391,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,23/10/2019 3:40:17 PM,01:53:50,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A29,FA3-1- 18hr Dox D4,Unknown,1,Hnf4a,Test,15.2653848188257,1,Pass,0.0128092640861449,84.4450443633733,999,1
S06-A30,FA3-1- 18hr Dox D4,Unknown,1,CYP3A4,Test,999,0,Flag,0.0128092640861449,999,999,0
S06-A31,FA3-1- 18hr Dox D4,Unknown,1,HLF,Test,23.8135423049108,1,Pass,0.0128092640861449,83.7963424884368,999,1
S06-A32,FA3-1- 18hr Dox D4,Unknown,1,Hand2,Test,999,0,Flag,0.0128092640861449,999,999,0
S06-A33,FA3-1- 18hr Dox D4,Unknown,1,Runx1,Test,24.2202057527395,1,Pass,0.0128092640861449,84.058212884015,999,1
S06-A34,FA3-1- 18hr Dox D4,Unknown,1,Foxd3,Test,16.4200466299774,1,Pass,0.0128092640861449,82.416785011402,999,1
S06-A35,FA3-1- 18hr Dox D4,Unknown,1,Gad1,Test,23.9602476070718,1,Pass,0.0128092640861449,88.8057766177838,999,1
S06-A36,FA3-1- 18hr Dox D4,Unknown,1,TH,Test,35.9782510991275,0,Flag,0.0128092640861449,999,999,0
S06-A37,FA3-1- 18hr Dox D4,Unknown,1,Klf2,Test,21.140469465047,1,Pass,0.0128092640861449,86.1294854256845,999,1
S06-A38,FA3-1- 18hr Dox D4,Unknown,1,Mixl1,Test,11.8949269313127,1,Pass,0.0128092640861449,88.0933673820506,999,1
S06-A39,FA3-1- 18hr Dox D4,Unknown,1,Tbx6,Test,18.0562491771133,1,Pass,0.0128092640861449,82.5835670366252,999,1
S06-A40,FA3-1- 18hr Dox D4,Unknown,1,Hhex,Test,12.1990161759457,1,Pass,0.0128092640861449,80.1854247490037,999,1
S06-A41,FA3-1- 18hr Dox D4,Unknown,1,Lgr5,Test,13.5250221127969,1,Pass,0.0128092640861449,79.1180990958099,999,1
S06-A42,FA3-1- 18hr Dox D4,Unknown,1,CYP3A7,Test,999,0,Flag,0.0128092640861449,999,999,0
S06-A43,FA3-1- 18hr Dox D4,Unknown,1,CYP1A2,Test,24.3923951010378,1,Pass,0.0128092640861449,87.2655399169216,999,1
S06-A44,FA3-1- 18hr Dox D4,Unknown,1,Igf2,Test,17.4421251336275,1,Pass,0.0128092640861449,87.4089249850551,999,1
S06-A45,FA3-1- 18hr Dox D4,Unknown,1,Myl3,Test,21.2466533580311,0.989890180152737,Pass,0.0128092640861449,87.8795077774235,999,1
S06-A46,FA3-1- 18hr Dox D4,Unknown,1,Pax6,Test,17.4291323844792,1,Pass,0.0128092640861449,77.1918541301258,999,1
S06-A47,FA3-1- 18hr Dox D4,Unknown,1,L1cam,Test,17.390657571599,1,Pass,0.0128092640861449,86.658636105148,999,1
S06-A48,FA3-1- 18hr Dox D4,Unknown,1,Gapdh,Test,8.8257906128449,1,Pass,0.0128092640861449,83.1768172745588,999,1
S06-A54,FA3-1- 18hr Dox D4,Unknown,1,CYP3A1,Test,21.9804249567644,1,Pass,0.0128092640861449,84.9236056808494,999,1
S06-A53,FA3-1- 18hr Dox D4,Unknown,1,Dcn,Test,31.4706327147419,1,Pass,0.0128092640861449,84.6459897978406,999,1
S06-A52,FA3-1- 18hr Dox D4,Unknown,1,Pdx1,Test,30.9409433089353,0.882512276137851,Pass,0.0128092640861449,88.8219885950514,999,1
S06-A51,FA3-1- 18hr Dox D4,Unknown,1,Foxa2,Test,14.9759330662776,1,Pass,0.0128092640861449,86.7750855736539,999,1
S06-A50,FA3-1- 18hr Dox D4,Unknown,1,Wnt3a,Test,31.1113387324634,1,Pass,0.0128092640861449,78.0499751427824,999,1
S06-A49,FA3-1- 18hr Dox D4,Unknown,1,Klf4,Test,20.1875353016694,1,Pass,0.0128092640861449,84.2851805470183,999,1
S06-A60,FA3-1- 18hr Dox D4,Unknown,1,Actb,Test,7.26298131329322,1,Pass,0.0128092640861449,82.3527081306448,999,1
