Chip Run Info,C:\Users\Osteil\Desktop\To Read & Write\hiPSC\Biomark\plate 1 121121_C32-DPVR and Anai samples_\ChipRun.bml,1362627095,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,12/11/2021 04:57:29,01:54:03,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.8.1
Application Build,20210907.1056
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A61,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Nanog,Test,12.7640485185638,1,Pass,0.0102617438427988,80.6442990241746,999,1
S96-A72,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,B2m,Test,12.5501354753192,1,Pass,0.0102617438427988,81.1932793840759,999,1
S96-A71,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Otx2,Test,15.2490664779718,1,Pass,0.0102617438427988,81.7986884976364,999,1
S96-A70,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Pou4f1,Test,24.6444551292011,1,Pass,0.0102617438427988,85.0827910448605,999,1
S96-A69,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Dcx,Test,17.2629251809811,1,Pass,0.0102617438427988,79.1581083713768,999,1
S96-A68,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Cd34,Test,23.176091958071,1,Pass,0.0102617438427988,78.3793486167582,999,1
S96-A67,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Smtn,Test,17.1584056865626,0.980538728946722,Pass,0.0102617438427988,85.0145266770956,999,1
S96-A78,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Gata6,Test,32.7299293709042,1,Pass,0.0102617438427988,86.0707971855192,999,1
S96-A77,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Alb,Test,22.9533680836271,1,Pass,0.0102617438427988,80.2974142173865,999,1
S96-A76,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Pdx1,Test,32.9472184314826,0,Flag,0.0102617438427988,999,999,0
S96-A75,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Sox7,Test,23.1058239401494,1,Pass,0.0102617438427988,86.1574211791856,999,1
S96-A74,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Lhx1,Test,22.0651633960353,0.972056198227365,Pass,0.0102617438427988,81.5542180214487,999,1
S96-A73,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Pou5f1,Test,10.2153254782269,1,Pass,0.0102617438427988,84.7556590011836,999,1
S96-A84,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,,NRC,999,0,Flag,0.0102617438427988,999,999,0
S96-A83,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Krt14,Test,999,0,Flag,0.0102617438427988,999,999,0
S96-A82,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Eno1,Test,11.4015298275324,1,Pass,0.0102617438427988,84.8233266432601,999,1
S96-A81,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Neurod1,Test,34.9303356264948,0.949968169090243,Pass,0.0102617438427988,88.0313636614293,999,1
S96-A80,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Cd79a,Test,22.2920074308288,0.969712332489717,Pass,0.0102617438427988,85.1669741250375,999,1
S96-A79,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Klf5,Test,17.3725442991083,1,Pass,0.0102617438427988,77.695419434457,999,1
S96-A90,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Kdr,Test,13.1710127257562,1,Pass,0.0102617438427988,78.417032885644,999,1
S96-A89,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Hgf,Test,22.6126250283694,1,Pass,0.0102617438427988,76.1101410175495,999,1
S96-A88,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Acvr1b,Test,16.9638137002883,1,Pass,0.0102617438427988,86.1865757389884,999,1
S96-A87,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Krt19,Test,15.3212039699059,0.990161047951448,Pass,0.0102617438427988,83.7931055196623,999,1
S96-A86,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Eomes,Test,23.1714891471024,0.982980008917823,Pass,0.0102617438427988,76.7671682612228,999,1
S96-A85,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Prdm14,Test,14.070416734624,1,Pass,0.0102617438427988,79.1819343920219,999,1
S96-A96,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,,NRC,999,0,Flag,0.0102617438427988,999,999,0
S96-A95,H9_mcherry_18  D4  2h 100mV 4b,Unknown,1,Grin1,Test,19.531404405009,1,Pass,0.0102617438427988,81.7113457240186,999,1
