Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362586_plate1_hiPSC_lineage_6-4-18\ChipRun.bml,1362362586,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,6/04/2018 3:29:29 PM,01:53:03,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A01,MA2 Day3 B,Unknown,1,Zic3,Test,17.6388078773338,1,Pass,0.0140148835713606,87.0598543703743,999,1
S06-A02,MA2 Day3 B,Unknown,1,Sox2,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A03,MA2 Day3 B,Unknown,1,Gsc,Test,15.6492177898744,1,Pass,0.0140148835713606,85.4507692960959,999,1
S06-A04,MA2 Day3 B,Unknown,1,AFP,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A05,MA2 Day3 B,Unknown,1,Gata4,Test,17.272987326242,0.999087528518207,Pass,0.0140148835713606,85.8600026465595,999,1
S06-A06,MA2 Day3 B,Unknown,1,Fgf8,Test,18.6293678282791,1,Pass,0.0140148835713606,83.5328423947188,999,1
S06-A07,MA2 Day3 B,Unknown,1,Gata2,Test,31.4999080098849,0.571236562427078,Fail,0.0140148835713606,84.6061039448876,999,1
S06-A08,MA2 Day3 B,Unknown,1,Nkx2-5,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A09,MA2 Day3 B,Unknown,1,Comp,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A10,MA2 Day3 B,Unknown,1,Olig2,Test,28.6491449643376,1,Pass,0.0140148835713606,76.9895449732437,999,1
S06-A11,MA2 Day3 B,Unknown,1,Gfap,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A12,MA2 Day3 B,Unknown,1,TH,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A13,MA2 Day3 B,Unknown,1,Dppa4,Test,24.2434459539726,1,Pass,0.0140148835713606,80.2409055911093,999,1
S06-A14,MA2 Day3 B,Unknown,1,Zfp42,Test,19.1802579367565,1,Pass,0.0140148835713606,72.4185908510343,999,1
S06-A15,MA2 Day3 B,Unknown,1,Tdgf1,Test,14.5003860777216,1,Pass,0.0140148835713606,86.7705674672242,999,1
S06-A16,MA2 Day3 B,Unknown,1,Cdx2,Test,22.6016547885767,1,Pass,0.0140148835713606,77.2530360458667,999,1
S06-A17,MA2 Day3 B,Unknown,1,Pecam1,Test,17.4448197761496,1,Pass,0.0140148835713606,82.5937425537363,999,1
S06-A18,MA2 Day3 B,Unknown,1,Nod2,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A19,MA2 Day3 B,Unknown,1,Hand1,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A20,MA2 Day3 B,Unknown,1,Pdgfra,Test,20.5542281571316,1,Pass,0.0140148835713606,80.2860576447756,999,1
S06-A21,MA2 Day3 B,Unknown,1,Ccr5,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A22,MA2 Day3 B,Unknown,1,Chat,Test,33.6923270550143,1,Pass,0.0140148835713606,80.2578013349356,999,1
S06-A23,MA2 Day3 B,Unknown,1,Tubb3,Test,16.215973286688,1,Pass,0.0140148835713606,89.9228137251855,999,1
S06-A24,MA2 Day3 B,Unknown,1,Gapdh,Test,13.1514780721071,1,Pass,0.0140148835713606,83.3571924776452,999,1
S06-A25,MA2 Day3 B,Unknown,1,Fgf5,Test,20.9461111506834,1,Pass,0.0140148835713606,73.5685011704952,999,1
S06-A26,MA2 Day3 B,Unknown,1,T,Test,23.1187845269926,1,Pass,0.0140148835713606,77.5765337909528,999,1
S06-A27,MA2 Day3 B,Unknown,1,Axin2,Test,18.074603940831,0.979857808329688,Pass,0.0140148835713606,84.0859334613247,999,1
S06-A28,MA2 Day3 B,Unknown,1,Gcg,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A29,MA2 Day3 B,Unknown,1,Hnf4a,Test,17.8561115331524,1,Pass,0.0140148835713606,87.3493521734618,999,1
S06-A30,MA2 Day3 B,Unknown,1,Cxcr4,Test,12.6084464911674,1,Pass,0.0140148835713606,78.7271907909952,999,1
S06-A31,MA2 Day3 B,Unknown,1,Hand2,Test,28.650333152414,1,Pass,0.0140148835713606,87.5378280820013,999,1
S06-A32,MA2 Day3 B,Unknown,1,Runx1,Test,23.2158347503951,1,Pass,0.0140148835713606,83.9776386121914,999,1
S06-A33,MA2 Day3 B,Unknown,1,Krt10,Test,14.162661435761,1,Pass,0.0140148835713606,78.6542691572704,999,1
S06-A34,MA2 Day3 B,Unknown,1,Foxd3,Test,24.3789924181408,1,Pass,0.0140148835713606,74.7275766813386,999,1
S06-A35,MA2 Day3 B,Unknown,1,Gad1,Test,33.3560754003604,1,Pass,0.0140148835713606,88.863969314843,999,1
S06-A36,MA2 Day3 B,Unknown,1,Actb,Test,10.5069890651395,1,Pass,0.0140148835713606,83.2320057745031,999,1
S06-A37,MA2 Day3 B,Unknown,1,Klf2,Test,24.1086082179862,0.967314324995979,Pass,0.0140148835713606,86.0353954522149,999,1
S06-A38,MA2 Day3 B,Unknown,1,Mixl1,Test,16.0803032209655,0.960930083115803,Pass,0.0140148835713606,88.0554954357413,999,1
S06-A39,MA2 Day3 B,Unknown,1,Tbx6,Test,22.0356590172623,1,Pass,0.0140148835713606,82.6037363194601,999,1
S06-A40,MA2 Day3 B,Unknown,1,Shh,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A41,MA2 Day3 B,Unknown,1,Lgr5,Test,18.2849621544999,1,Pass,0.0140148835713606,79.2190518858736,999,1
S06-A42,MA2 Day3 B,Unknown,1,Bmp4,Test,18.7339749189107,1,Pass,0.0140148835713606,80.8082650699671,999,1
S06-A43,MA2 Day3 B,Unknown,1,Myh1,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A44,MA2 Day3 B,Unknown,1,Myl3,Test,23.886853778306,1,Pass,0.0140148835713606,87.7410593534933,999,1
S06-A45,MA2 Day3 B,Unknown,1,Zic1,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A46,MA2 Day3 B,Unknown,1,Pax6,Test,18.8778243108629,1,Pass,0.0140148835713606,77.4020327312696,999,1
S06-A47,MA2 Day3 B,Unknown,1,L1cam,Test,21.2706711743613,1,Pass,0.0140148835713606,86.7137608320623,999,1
S06-A48,MA2 Day3 B,Unknown,1,TBP,Test,17.7925582973642,1,Pass,0.0140148835713606,81.8862159807048,999,1
S06-A54,MA2 Day3 B,Unknown,1,Col10a1,Test,999,0,Fail,0.0140148835713606,999,999,0
S06-A53,MA2 Day3 B,Unknown,1,Dcn,Test,37.4249304304618,0,Fail,0.0140148835713606,999,999,0
S06-A52,MA2 Day3 B,Unknown,1,Hhex,Test,14.8871797311587,1,Pass,0.0140148835713606,80.3137671486342,999,1
