uniprot_acc	1_SET1	2_SET1	3_SET1	4_SET1	5_SET1	6_SET1	7_SET1	8_SET1	9_SET1	10_SET1	11_SET1	12_SET1	13_SET1	14_SET1	15_SET1	16_SET1	1_SET2	2_SET2	3_SET2	4_SET2	5_SET2	6_SET2	7_SET2	8_SET2	9_SET2	10_SET2	11_SET2	12_SET2	13_SET2	14_SET2	15_SET2	16_SET2	1_SET3	2_SET3	3_SET3	4_SET3	5_SET3	6_SET3	7_SET3	8_SET3	9_SET3	10_SET3	11_SET3	12_SET3	13_SET3	14_SET3	15_SET3	16_SET3
Q16254	339780	311580	311390	314910	234130	274740	275380	264690	320830	343390	375670	304020	264420	329530	310370	315150	30118	27115	18678	27133	27158	25570	25003	22610	27781	23938	32602	30713	26337	22981	20201	29372	16457	16411	12323	16840	14882	10687	17370	14713	14994	15397	14558	14609	15954	14331	14543	19408
Q16348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16352	15333	15773	13596	11503	11748	12918	14215	13136	12595	14174	18207	20388	12740	14560	11858	12510	98553	161560	73014	78499	51521	99573	112030	80148	105270	49401	66911	107700	57563	56637	46205	88309	54454	110140	68278	56050	56678	59896	68456	70128	60903	51034	49812	73918	51018	45840	48809	74717
Q16401	303130	399160	560320	753990	431560	454610	552820	499290	634120	529940	518190	567710	622030	741150	711000	574360	636770	572660	644940	667680	439500	1165200	795590	863630	945130	837020	901480	844960	995430	326340	988910	915660	673120	814440	1314200	1379000	1310000	1007300	1515700	1211800	1213200	1032500	962620	1179700	1457900	1273800	1003100	1152200
Q16513	551450	600940	580820	567540	562030	663500	569450	620250	666380	612880	638720	572510	618670	594330	610030	623590	307950	263400	222770	335360	174880	350680	311220	321440	326440	264900	317350	347030	282070	192190	222010	335930	171360	167370	197370	224200	209930	153110	180680	186910	183860	257830	198490	209060	238070	203220	204700	244490
Q16514	3923.1	4240.9	4557.9	5561.8	4559.9	5454.4	4520	4841.1	5244.9	5466.1	5738.9	5146.9	5140.9	5239	4691.5	4276.9	87296	86456	69002	68905	40975	88354	67864	84377	72500	88973	88767	80795	78684	43492	65389	79059	5132.4	5351	5905.4	5881.2	6004.1	5390.5	5064.4	6120.7	6884.9	6046.1	5031.7	5988.6	6893.5	5637.3	5792.2	6430.5
Q16527	1232900	1184300	972960	726190	761240	842290	700250	851630	829220	741370	800130	613920	865930	834800	728720	885010	1475600	1102000	1482600	1035000	656130	1271900	926890	911100	1113200	1045300	1067200	1053500	920850	969670	823990	1323100	1301000	1184500	1160300	950210	1106700	746000	1019700	1010500	970450	1264100	1316100	1466600	1244200	885460	947130	1610700
Q16531	2445600	3218100	2943600	3237100	1915300	2513200	2428500	2317900	2765400	2964800	2644300	2220500	2438000	3653600	2524200	3067500	2357600	2014800	1521100	1620800	1299000	2506800	1996500	2108700	2013200	1878600	2061100	1850900	2091300	974310	1709700	2201200	2259700	2923100	2802200	2564500	2448600	1597900	3132000	2108200	2181600	2447200	2493900	2280200	2918500	2422900	2107200	2929400
Q16537	520330	572080	511900	473750	350440	431120	385200	407730	434720	521850	498760	380740	427230	543850	421530	511770	424710	310300	245150	210660	133230	382410	232630	301650	263650	296730	343820	270440	284010	101460	236160	337700	300240	365610	364940	295390	277160	195880	341830	266880	232930	312190	309210	331240	368760	257930	266050	397290
Q16539	63546	87083	72366	89029	85782	83118	84478	87658	85604	70853	86434	86244	100980	90075	80941	82227	262510	203850	167680	200290	126290	262300	212570	245430	223670	209600	212970	223040	239950	122600	183690	237960	191100	183550	196240	226160	232570	195790	212120	239580	220650	219530	206090	220450	243710	201180	181580	236870
Q16540	556210	600000	568420	633400	519840	481530	549020	528780	572120	645900	653470	719930	594580	602180	562370	590390	460680	407710	287740	423670	210060	496100	532900	545710	523820	441870	503750	508430	486720	226830	288080	489310	362340	322120	359670	367350	341840	246880	347340	360910	319880	375020	317200	359730	385850	309200	310460	383170
Q16543	3371800	3624800	3042600	2586000	2196100	3141400	2373300	2893400	3314600	3216400	3390400	2004400	2558900	3543400	2730100	3068300	2282600	1661100	1839200	1938700	1173300	2271100	1473600	1821500	1769000	1874100	2182500	1907100	1800500	1184700	1296200	2066800	1573200	1768800	1828800	1925500	1926700	1366000	1769900	2045700	2088300	2129700	2034400	1958500	2328500	1843200	1946100	2410300
Q16566	6216	8434.3	7177.9	5558.2	5281.7	6739.4	6242.6	7105	6861.2	6156.9	9834.8	5973.7	6914.9	7123	6847.3	7862	106180	94418	82944	95573	69346	114980	112710	127950	124080	106230	112670	112270	134090	65239	86552	119150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16576-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16315	16367	12071	16098	15735	15245	30002	16980	22358	25947	34969	32841	15299	21189	18792	23747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16594	294720	347370	324620	322350	362650	286650	229990	318300	289950	239170	286190	239340	289350	261120	267160	274250	443110	392480	301270	392420	503470	399110	299730	413750	368460	201510	323980	302960	413190	257620	208850	378940	440840	439630	443310	539500	585840	429220	405070	530920	477570	438600	400850	388930	482600	449790	439530	522060
Q16629	1571300	1194600	1082100	836560	774170	802700	887440	859050	905920	1148300	1138300	916150	944250	1140800	904910	1088400	1080500	932220	1646800	1068400	614220	1091300	1133300	1044200	1095600	1262300	1240600	1216500	1026600	1362000	830790	1345500	1354500	1087700	1194400	1029700	1087100	874560	1089600	1138300	1152200	1464200	1446600	1402000	1343100	1193300	1223400	1462400
Q16630	1070200	1115600	1017500	916520	669030	951760	833820	859110	927690	1040700	998740	797730	779670	1068200	916900	1127800	1030900	944920	737130	953880	685400	904710	962360	984400	1024100	856980	938200	1031800	1010000	1033000	691970	1077400	807360	742530	782150	974000	849820	717580	844030	894260	884620	879630	900270	890820	969890	871150	914750	1014300
Q16647	75249	114900	107410	134490	115800	121520	104590	105800	105190	91104	115170	155350	148720	114310	89951	119800	149740	114570	81776	120990	75412	163690	142070	169730	141680	124150	132190	136200	191220	57582	126910	140360	69227	61258	61694	70911	77475	57585	65912	77700	69931	60364	62756	65445	77617	75896	54001	71793
Q16651	90347	106270	101280	81780	70128	70885	96942	77800	66943	93552	112490	119740	100330	79541	105280	100830	298420	229190	134740	146090	81375	271060	187510	244300	168130	202510	246240	232980	243570	127250	189820	227780	115160	72304	82718	79298	72853	53651	99460	78766	75579	86407	59378	82568	65911	103340	75830	93891
Q16656	151180	142870	139640	129390	59147	104800	96260	82148	113760	170960	158990	94775	73975	162060	115640	133920	231220	199280	220620	169910	88667	215590	180140	172510	178210	232910	235870	193360	187430	152890	179060	235570	69343	55479	58544	65656	67970	55527	64100	71728	73011	66194	66071	58477	67228	63242	61439	71251
Q16658	4215900	4572400	4174500	4140700	2707300	3270100	3184200	3551400	3639800	4619400	3151600	2647900	3360200	3801400	4946300	4152800	3827100	3069000	2734400	2577700	1463800	3808200	2266200	2545000	2521800	3231200	2909700	2519500	2752600	1156800	3322000	3513600	3729000	3717000	3953200	4756200	3651000	2385400	4318900	3495600	3374600	5037500	4071500	4074600	4613200	3452000	4098500	4702400
Q16659	16131	52877	41015	47520	33244	54309	18342	60981	26918	18951	20547	27846	66676	21996	21066	34330	41603	31185	59571	29484	20265	49765	23050	25396	31647	37789	27802	33034	47313	42195	35470	44810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q16698	763380	859560	807370	731040	630790	576220	668460	649950	685640	788750	768100	794490	616900	870710	781030	785250	387140	338730	289960	290060	186990	385330	403480	407100	412190	377400	376070	373130	434610	202390	393990	421050	531900	480750	517110	417340	405480	302010	479840	445810	518250	614560	634590	589970	487910	575300	593520	622400
Q16706	364230	471450	458160	548530	438600	425970	402410	447610	455370	356860	407490	577310	520810	448720	416160	475090	392610	401570	209720	230580	183350	392630	299130	381150	347610	243730	261170	267460	371300	95979	185740	303690	527290	536640	457310	575520	571900	475260	514520	547760	459090	368360	337000	389190	500240	450920	321810	497870
Q16718	646930	704030	704010	777610	687090	830750	727320	699100	787690	877850	971840	1077800	743720	665310	752470	762810	682200	574720	448850	460690	271280	607550	578850	567560	544780	584760	625680	603530	509870	331220	361430	605780	739390	602530	674510	612690	643610	329090	648860	654410	649680	817140	710900	742500	694190	606850	635060	848690
Q16739	71294	89513	83899	161470	101290	75032	76057	93725	93959	81448	94001	131260	121880	90742	124170	98152	75635	57943	23304	29716	22034	76104	43704	66116	45468	22805	40634	29954	37635	7915.6	16328	43173	56577	67509	61652	79805	78426	65463	57444	67668	37178	34816	20179	23951	47969	34493	26730	48927
Q16762	103460	111680	100510	145530	112720	123430	125370	121640	100200	113690	138390	146120	109790	139880	98249	135710	102270	84625	101250	105030	70203	137050	130120	114110	107740	162510	153240	144620	136140	80905	112960	132310	177190	132700	134240	187100	211040	181250	212220	205330	177630	203300	233850	199870	220380	191360	169120	199660
Q16763	429130	575320	454400	521360	505410	459870	455830	591190	579530	350480	481430	472800	689840	411610	501470	454810	863640	726300	519130	645160	379960	720250	555740	759430	707050	442240	687450	626830	443900	324640	305510	685060	491040	534480	484480	607640	535630	508450	490660	662900	364100	374040	318130	332300	481890	351870	322040	561890
Q16777	4604600	2997500	2047700	1621400	2167200	1916900	1757400	2345100	1774700	2799100	3232400	2091500	1876300	2021400	1462600	2535000	1436900	1258600	5237800	1766500	952260	1666300	1694200	1854000	1758100	2961300	2365300	2677300	2341300	5650600	1730200	2589300	3656400	2007300	1816100	2384600	2990800	2216000	2102300	3402900	3468600	5711900	3863700	3325200	3399100	2348400	3636800	3939900
