maxquant_row_id	num_gene_names	gene_names	uniprot_acc	is_unique	protein_ids
3569	1	KDM5A	P29375	Unique	P29375-2;P29375;E7EV89;F5GZ99
3570	1	TKT	P29401	Unique	P29401;P29401-2;A0A0B4J1R6;E9PFF2;F8W888;F8WAX4
3571	1	PML	P29590	Unique	P29590;P29590-5;P29590-9;P29590-11;P29590-8;P29590-12;P29590-3;P29590-2;P29590-4;P29590-13;H3BT57;P29590-10;P29590-14;H3BT29;H3BUJ5;H3BVD2;H3BRN3
3573	1	EEF1D	E9PL71	Unique	P29692-3;E9PL71;E9PN91
3574	1	CRABP1	P29762	Unique	P29762;B5MCB5
3575	1	MARCKS	P29966	Unique	P29966
3576	1	GNA11	P29992	Unique	P29992;K7EL62;A0A087WVZ3
3577	1	ALDH4A1	P30038	Unique	P30038;P30038-2;P30038-3;Q5TF55
3578	1	ERP29	P30040	Unique	P30040;F8VY02;F8W1G0;P30040-2
3579	1	PRDX6	P30041	Unique	P30041
3580	1	BLVRB	P30043	Unique	P30043;A0A2R8Y7Y9;M0QZL1;M0R192;A0A2R8YEP4
3581	1	PRDX5	P30044	Unique	P30044-2;P30044;P30044-3;P30044-4
3582	2	DDT:DDTL	P30046:A6NHG4	Multimapped	P30046;J3KQ18;B5MC82;P30046-2;A6NHG4;H7C342
3583	1	GCHFR	P30047	Unique	P30047-2;P30047;H0YNX7;A0A087WTI4;H0YNM1
3584	1	PRDX3	P30048	Unique	P30048-2;P30048
3586	1	RPL12	P30050	Unique	P30050;P30050-2
3587	1	ECHS1	P30084	Unique	P30084
3588	1	CMPK1	P30085	Unique	P30085;P30085-3;P30085-2;A0A494BXC7;Q5T0D2
3589	1	PEBP1	P30086	Unique	P30086
3590	2	PDIA3:SLC4A11	P30101:V9GYK6	Multimapped	P30101;V9GYK6
3591	2	PPP2R1A:PPP2R1B	P30153:E9PHZ6	Multimapped	P30153;C9J9C1;B3KQV6;E9PH38;E9PNM7;E9PPI5;E9PHZ6;M0QXG4;M0R0K6
3592	1	PPP2R1B	P30154	Unique	P30154;P30154-4;P30154-2;P30154-3;P30154-5;H0YDG7
3593	1	WEE1	P30291	Unique	P30291;A0A7P0TBN9;P30291-2;E9PQ51;E9PRU3;H0YEJ2
3594	1	CDC25C	P30307	Unique	P30307-2;P30307;A0A3B3IT42;D6RJC2;D6RD20;H0Y999
3595	1	CDC25C	P30307-3	Unique	P30307-4;P30307-3
3596	2	FCRLB:PPIF	Q6BAA4:P30405	Multimapped	P30405;R4GN99;H0Y548;P30405-2;Q6BAA4
3597	1	NKTR	P30414	Unique	P30414;A0A087WYW3
